title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,151 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,318 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,503 ratings",
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,694 ratings",Only 2 left in stock - order soon
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,297 ratings",Not Available
"Newest Sony Playstation 4 PS4 1TB HDD Gaming Console Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn, Included Dualshock 4 Wireless Controller",,4.6 out of 5 stars,565 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.7 out of 5 stars,"124,111 ratings",Not Available
"AceGamer Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Pink-White)",,4.3 out of 5 stars,22 ratings,Not Available
"MOOGOLE PS4 Controller Wireless, with USB Cable/1000mAh Battery/Dual Vibration/6-Axis Motion Control/3.5mm Audio Jack/Multi Touch Pad/Share Button, PS4 Controller Compatible with PS4/Slim/Pro/PC",,4.2 out of 5 stars,"1,010 ratings",Not Available
Akvwj 【Upgraded】 Wireless PS4 Remote Controller Compatible with Playstation 4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.4 out of 5 stars,827 ratings,Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"10,505 ratings",
"TECHPEIN Wireless Controller Compatible with PS4/Pro/Slim/PC, Game Remote for Playstation 4 Controller with Enhanced Precision Joystick/Turbo/Double Shock/Audio/6-Axis Gyroscope/800mAh Battery(Black)",,4.0 out of 5 stars,21 ratings,Not Available
PlayStation 5 Console (PS5),,4.8 out of 5 stars,"5,879 ratings",In Stock
Diablo IV - PlayStation 4,,3.9 out of 5 stars,33 ratings,In Stock
FIFA 23 - For PlayStation 4,,4.6 out of 5 stars,609 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,,4.7 out of 5 stars,"23,750 ratings",Not Available
"TULIADU Charging Station for PS VR2 with RGB Light, Vertical Charging Stand Dock Support for Headset Display, 4 Type-C Magnetic Adapters for Sense Controller",,Previous page of related Sponsored Products,,Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"2,778 ratings",Not Available
DREDGE: Deluxe Edition - PlayStation 4,,4.8 out of 5 stars,8 ratings,In Stock
"OCG Wireless Bluetooth Gaming Headphones for Playstation 4, PS5, PC, Nintendo Switch,3-in-1 Over Ear Noise Cancelling Gamer Headsets with Mic,2.4G & Type C Transmitter for Play Work Travel White…",,4.6 out of 5 stars,25 ratings,Not Available
Sonic Origins Plus - PlayStation 4,,2.7 out of 5 stars,8 ratings,In Stock
